,scene_id,date,gdd_cumsum,point_id,lai_all,lai_q05_all,lai_q95_all,ccc_all,ccc_q05_all,ccc_q95_all,error_all,SCL,B02,B03,B04,B05,B06,B07,B8A,B11,B12,lai_stemelongation-endofheading,lai_q05_stemelongation-endofheading,lai_q95_stemelongation-endofheading,ccc_stemelongation-endofheading,ccc_q05_stemelongation-endofheading,ccc_q95_stemelongation-endofheading,error_stemelongation-endofheading,lai_flowering-fruitdevelopment-plantdead,lai_q05_flowering-fruitdevelopment-plantdead,lai_q95_flowering-fruitdevelopment-plantdead,ccc_flowering-fruitdevelopment-plantdead,ccc_q05_flowering-fruitdevelopment-plantdead,ccc_q95_flowering-fruitdevelopment-plantdead,error_flowering-fruitdevelopment-plantdead,lai_germination-endoftillering,lai_q05_germination-endoftillering,lai_q95_germination-endoftillering,ccc_germination-endoftillering,ccc_q05_germination-endoftillering,ccc_q95_germination-endoftillering,error_germination-endoftillering,lai (Phenology),lai_q05 (Phenology),lai_q95 (Phenology),ccc (Phenology),ccc_q05 (Phenology),ccc_q95 (Phenology),Macro-Stage,parcel,location
17,S2A_MSIL2A_20220610T101611_N0400_R065_T32TMT_20220610T181610.SAFE,2022-06-10,1572.3,1,4.935858037736681,2.4712908797793918,7.645088407728407,2.4286804596583047,1.0276801188786824,4.63218715455797,0.19059333867496914,4.0,0.0353444442152977,0.059766666756735906,0.0323222227808502,0.09485555440187454,0.35886667172114056,0.4937000042862362,0.5145111050870683,0.15208889212873247,0.07041111091772716,4.338727315266927,2.3560558689965143,6.235411591000027,2.0912720759709678,0.9775509105788337,3.785949230194092,0.18794568379720053,4.908186700608995,2.4573050340016684,7.646901024712457,2.4192647404140897,1.0240127709176805,4.578380319807264,0.18857084380255806,,,,,,,,4.908186700608995,2.4573050340016684,7.646901024712457,2.4192647404140897,1.0240127709176805,4.578380319807264,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
18,S2A_MSIL2A_20220613T103031_N0400_R108_T32TMT_20220613T235021.SAFE,2022-06-13,1628.3,1,4.048905717002021,2.0051847563849554,7.426038318210178,1.9088208145565457,0.7770716547966003,4.1122983826531305,0.1827406899796592,4.0,0.04062222234076924,0.058744444615311094,0.03396666712231106,0.08886666761504279,0.315811104244656,0.4238111078739166,0.45106666949060226,0.1307333360115687,0.05899999952978558,3.684248685836792,1.9546535147560968,6.071980158487956,1.6928199662102594,0.7658233443895975,3.2878045770857067,0.1754454490211275,4.0642589992947045,2.01010345088111,7.431957721710205,1.924473974439833,0.7914193206363254,4.114387035369873,0.18122177322705588,,,,,,,,4.0642589992947045,2.01010345088111,7.431957721710205,1.924473974439833,0.7914193206363254,4.114387035369873,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
19,S2B_MSIL2A_20220615T101559_N0400_R065_T32TMT_20220615T132635.SAFE,2022-06-15,1667.4,1,4.752578947279188,2.2226123015085855,7.59820032119751,2.258705457051595,0.8443896638022529,4.440503968132867,0.2424812051984999,4.0,0.045155556251605354,0.07011111080646515,0.041088889042536415,0.1090555555290646,0.36800000071525574,0.49506667587492204,0.5222000016106499,0.17724444634384579,0.0866333329015308,4.180239306555854,2.1112228631973267,6.20057651731703,1.9342843426598444,0.7985596325662401,3.6368583838144937,0.23715419073899588,4.706184069315593,2.219465242491828,7.580800268385145,2.2273685137430825,0.85061999824312,4.426851060655382,0.2389154848125246,,,,,,,,4.706184069315593,2.219465242491828,7.580800268385145,2.2273685137430825,0.85061999824312,4.426851060655382,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
20,S2B_MSIL2A_20220618T102559_N0400_R108_T32TMT_20220618T135630.SAFE,2022-06-18,1733.6,1,3.4032480981614857,1.617725862397088,7.159715069664849,1.5570582416322496,0.5843437910079956,3.6983207331763372,0.21502206226189932,4.0,0.02971111113826434,0.05785555558072196,0.039755555904573865,0.10286666618453132,0.3036888970269097,0.4005555477407243,0.43150000108612907,0.16335555414358774,0.08864444411463207,3.1057055791219077,1.5899736881256104,5.819833013746473,1.3706014553705852,0.585706995593177,2.8438935809665256,0.20360218816333348,3.4056901931762695,1.6375352806515164,7.16407765282525,1.5466932190789118,0.6023155517048306,3.648868110444811,0.21332871748341453,,,,,,,,3.4056901931762695,1.6375352806515164,7.16407765282525,1.5466932190789118,0.6023155517048306,3.648868110444811,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
21,S2A_MSIL2A_20220620T102041_N0400_R065_T32TMT_20220620T162319.SAFE,2022-06-20,1783.8,1,4.409109751383464,0.7029846443070306,7.578215969933404,2.0256777736875744,0.21903753032286963,4.518294016520183,0.7904510431819491,4.0,0.1424666659699546,0.1722666687435574,0.1481111099322637,0.21742222044203016,0.427455551094479,0.5149999856948853,0.5438999931017557,0.27462222509913975,0.19094444149070317,3.8767157395680747,0.8207095265388489,6.205905066596137,1.7269167370266385,0.2682298653655582,3.660328229268392,0.7814318405257331,4.385398228963216,0.734001444445716,7.596329742007786,2.01932073964013,0.24517213304837546,4.509962717692058,0.7843721575207181,,,,,,,,4.385398228963216,0.734001444445716,7.596329742007786,2.01932073964013,0.24517213304837546,4.509962717692058,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
22,S2A_MSIL2A_20220623T103031_N9999_R108_T32TMT_20230101T163539.SAFE,2022-06-23,1844.7,1,3.3864951928456626,0.5419758061567942,7.298284901512994,1.4465622637006972,0.14595153224137095,3.971926901075575,0.6943244867854648,4.0,0.12665555626153946,0.15755555861526066,0.13571111195617253,0.20034444497691262,0.37743332650926376,0.4465999967522091,0.47855555017789203,0.24501111110051474,0.17193333473470476,3.0893828868865967,0.7341415219836764,6.005435201856825,1.2800914314058092,0.22660770350032383,3.1694640583462186,0.6808764470948113,3.4271190431382923,0.6150479978985257,7.314128292931451,1.4634307755364313,0.17394265201356676,3.9409821563296847,0.6901498238245646,,,,,,,,3.4271190431382923,0.6150479978985257,7.314128292931451,1.4634307755364313,0.17394265201356676,3.9409821563296847,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
23,S2B_MSIL2A_20220625T101559_N0400_R065_T32TMT_20220625T131754.SAFE,2022-06-25,1879.9,1,2.6203698582119412,1.334994633992513,5.903477509816487,1.1357559826638963,0.42558152145809597,2.6915473408169217,0.23114649620321062,4.0,0.036077777958578534,0.07183333237965901,0.045077777985069484,0.1191222220659256,0.3010333345996009,0.3688000010119544,0.39452222651905483,0.1468111111058129,0.07231111162238651,2.4541513919830322,1.3150108125474718,4.957537121242947,1.0255207088258531,0.41210471590360004,2.168372286690606,0.2132293317053053,2.59196498658922,1.3224936988618639,5.771260844336616,1.1245053476757474,0.4197138018078274,2.6440175904168024,0.22956575287712944,,,,,,,,2.59196498658922,1.3224936988618639,5.771260844336616,1.1245053476757474,0.4197138018078274,2.6440175904168024,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
24,S2A_MSIL2A_20220703T102611_N0400_R108_T32TMT_20220703T182512.SAFE,2022-07-03,2031.7000000000003,1,1.3393400642606947,0.5287710196442075,2.9827712641821966,0.539676719241672,0.12418867316510943,1.4828069077597723,0.2691342698203193,4.0,0.03685555565688345,0.06983333329359691,0.06816666738854514,0.12958888875113594,0.20906666252348158,0.241577770974901,0.2690444456206428,0.14816666477256352,0.08630000054836273,1.3012237813737657,0.6296684609519111,2.7019683519999185,0.5160224702623155,0.1577055917845832,1.3238792816797893,0.24451550013489193,1.3292319244808621,0.5388542115688324,2.903883006837633,0.5256755815611945,0.13306931075122622,1.4419836335712009,0.2651058832804362,0.9644679559601678,0.6205552948845757,1.4821376535627577,0.26883048978116775,0.1410336908366945,0.5065849191612668,0.013686910582085451,1.3292319244808621,0.5388542115688324,2.903883006837633,0.5256755815611945,0.13306931075122622,1.4419836335712009,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
25,S2B_MSIL2A_20220708T102559_N0400_R108_T32TMT_20220708T131740.SAFE,2022-07-08,2125.3,1,1.0413686169518366,0.25416360795497894,2.4317926035987005,0.387577709224489,0.02376008980354527,1.230654451582167,0.32456186082628036,4.0,0.04906666692760256,0.07422222197055817,0.09665555424160427,0.14344444374243417,0.19145555628670585,0.22183333502875435,0.2547222243414985,0.16995555659135184,0.11123333291874991,1.140039086341858,0.5820842120382521,2.4008667998843722,0.4513162341382768,0.1356833560599221,1.2168525722291734,0.3130514489279853,1.116908484035068,0.4146787193086412,2.479208548863729,0.4259812864992354,0.08921828534868029,1.2740734020868938,0.3247886465655433,0.7309064533975389,0.44573260015911526,1.219898568259345,0.18893644379244912,0.07416668327318297,0.5142302744918399,0.016720433202054765,1.116908484035068,0.4146787193086412,2.479208548863729,0.4259812864992354,0.08921828534868029,1.2740734020868938,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
26,S2A_MSIL2A_20220713T103041_N0400_R108_T32TMT_20220713T164557.SAFE,2022-07-13,2218.0000000000005,1,1.1116654343075223,0.2174433105521732,2.685546080271403,0.4143130017651452,0.010404658670369018,1.3475422196918063,0.37280060516463387,4.0,0.0644333337744077,0.09039999958541658,0.10993333243661457,0.14403332769870758,0.21759999957349566,0.2607888943619198,0.294433335463206,0.20413333508703443,0.13805555469459957,1.221349252594842,0.5844425559043884,2.6406882339053683,0.47751687301529777,0.13922582732306588,1.3312866820229425,0.35795509815216064,1.2072958681318495,0.41652218500773114,2.7944956885443792,0.4585489829381307,0.09276626010735829,1.3935811519622803,0.37279875410927665,0.7903050118022494,0.4741337564256456,1.290151211950514,0.26470172074106,0.11871308585007985,0.6502208113670349,0.015583286475804117,1.2072958681318495,0.41652218500773114,2.7944956885443792,0.4585489829381307,0.09276626010735829,1.3935811519622803,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
27,S2B_MSIL2A_20220715T101559_N0400_R065_T32TMT_20220715T133111.SAFE,2022-07-15,2265.7000000000003,1,0.9717122647497389,0.11435076511568493,2.4139741791619196,0.3483131163650089,3.269844310377973e-07,1.215823041068183,0.5038665698634254,5.0,0.08384444564580917,0.1120888888835907,0.16135555671321022,0.1923666712310579,0.22873333096504211,0.2517777747578091,0.2905111180411445,0.24611111481984457,0.16003333197699654,1.156461278597514,0.5731715758641561,2.5192817052205405,0.4511607951588101,0.13327923913796744,1.2781083054012723,0.5245246291160583,1.1227396859063044,0.3940897087256114,2.62431271870931,0.422517329454422,0.08483445975515577,1.3184345430798001,0.5362877580854628,0.5002384881178538,0.27962861127323574,0.8683408631218804,0.11037654843595293,0.017691825775222644,0.31723369161287945,0.025264246596230402,1.1227396859063044,0.3940897087256114,2.62431271870931,0.422517329454422,0.08483445975515577,1.3184345430798001,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
28,S2B_MSIL2A_20220718T102559_N0400_R108_T32TMT_20220718T133811.SAFE,2022-07-18,2327.2000000000003,1,0.9438192447026571,0.11465053757031758,2.376055426067776,0.33742161591847736,2.516326639402501e-07,1.2060761584175959,0.4863586955600315,5.0,0.07815555565887028,0.10664444416761398,0.16011111107137468,0.18449999888737997,0.21337777707311842,0.24232222636540732,0.2758222255441878,0.23796666165192923,0.1513666676150428,1.1354295412699382,0.571184860335456,2.5034957461886935,0.44574366013209027,0.13180521627267203,1.2774775293138292,0.5090507765611013,1.0992762247721355,0.39245356453789604,2.588743951585558,0.41479946507347953,0.08379427840312322,1.3087888293796115,0.5191583236058553,0.4647877977954017,0.26430661645200515,0.842294798956977,0.08769528857535785,0.014471705888480655,0.3186834951241811,0.025043683954411082,1.0992762247721355,0.39245356453789604,2.588743951585558,0.41479946507347953,0.08379427840312322,1.3087888293796115,flowering - fruit development - plant dead,Altkloster,SwissFutureFarm
0,S2A_MSIL2A_20220305T102921_N0400_R108_T32TMT_20220305T135811.SAFE,2022-03-05,521.6000000000001,2,0.9362651035189629,0.1085975207388401,2.678993821144104,0.3280860520899296,4.677268172770255e-08,1.272385597229004,0.5091975778341293,5.0,0.06579999951645732,0.09853750001639128,0.10827499907463789,0.1590874996036291,0.2330124992877245,0.2533874958753586,0.2685624994337559,0.2661624886095524,0.20522499829530716,1.1353981792926788,0.5697040781378746,2.87252613902092,0.43569266051054,0.1300328690558672,1.399387151002884,0.5340212360024452,,,,,,,,0.4268563315272331,0.2879466377198696,0.7508057728409767,0.16341031156480312,0.04699094872921705,0.39717211574316025,0.018255898961797357,0.4268563315272331,0.2879466377198696,0.7508057728409767,0.16341031156480312,0.04699094872921705,0.39717211574316025,germination - end of tillering,Altkloster,SwissFutureFarm
1,S2B_MSIL2A_20220310T102739_N0400_R108_T32TMT_20220310T134645.SAFE,2022-03-10,525.3000000000002,2,0.8583895266056061,0.10649924725294113,2.272577464580536,0.29754309728741646,4.6855737068085546e-08,1.1317813247442245,0.4808660298585892,5.0,0.06366249918937683,0.08593750093132257,0.10620000120252371,0.14691250026226044,0.20103750005364418,0.22495000436902046,0.25786250457167625,0.26784999296069145,0.2083125039935112,1.055586114525795,0.562998354434967,2.510881155729294,0.4069898948073387,0.1255855280905962,1.23979651927948,0.5147413611412048,,,,,,,,0.4291374459862709,0.26876944303512573,0.7000482082366943,0.13699857518076897,0.03943559154868126,0.352621428668499,0.018898881506174803,0.4291374459862709,0.26876944303512573,0.7000482082366943,0.13699857518076897,0.03943559154868126,0.352621428668499,germination - end of tillering,Altkloster,SwissFutureFarm
2,S2B_MSIL2A_20220320T102639_N0400_R108_T32TMT_20220320T135549.SAFE,2022-03-20,591.6000000000003,2,1.0659999996423721,0.11109746806323528,3.8166827261447906,0.38536641746759415,1.0987850451726899e-07,1.8767941296100616,0.5776566863059998,5.0,0.07548750005662441,0.10714999958872795,0.12455000076442957,0.17116250097751617,0.24742499738931656,0.28011249750852585,0.3018000014126301,0.2914625070989132,0.22360000386834145,1.2852664589881897,0.5790353715419769,3.841749519109726,0.49661268293857574,0.13682479411363602,1.8857279419898987,0.5975457206368446,,,,,,,,0.47989413514733315,0.3067566156387329,0.8398753106594086,0.15512336790561676,0.049411381129175425,0.45622872188687325,0.021204657154157758,0.47989413514733315,0.3067566156387329,0.8398753106594086,0.15512336790561676,0.049411381129175425,0.45622872188687325,germination - end of tillering,Altkloster,SwissFutureFarm
3,S2A_MSIL2A_20220322T101711_N0400_R065_T32TMT_20220322T141030.SAFE,2022-03-22,603.3000000000002,2,1.1856204271316528,0.12024843227118254,4.646437466144562,0.43651458621025085,4.5517906244185724e-07,2.342959851026535,0.6007009446620941,5.0,0.06919999979436398,0.11087500024586916,0.12890000082552433,0.18092500418424606,0.2667374946177006,0.3002999946475029,0.32483750209212303,0.307412501424551,0.22832499630749226,1.377671718597412,0.5884622633457184,4.312047481536865,0.5318342074751854,0.1428377479314804,2.1634638607501984,0.6137068346142769,,,,,,,,0.5151748657226562,0.32546836510300636,0.849598839879036,0.16220327652990818,0.05511097516864538,0.43987220898270607,0.023605140624567866,0.5151748657226562,0.32546836510300636,0.849598839879036,0.16220327652990818,0.05511097516864538,0.43987220898270607,germination - end of tillering,Altkloster,SwissFutureFarm
4,S2A_MSIL2A_20220325T102651_N0400_R108_T32TMT_20220325T162307.SAFE,2022-03-25,625.9000000000002,2,1.2248012572526932,0.1360922623425722,4.579034388065338,0.45494886487722397,4.114313000513903e-06,2.307565748691559,0.5276177003979683,4.0,0.0636875000782311,0.10071250051259995,0.11347500048577785,0.16376249678432941,0.26077500358223915,0.295887503772974,0.324375007301569,0.28491249680519104,0.20269999839365482,1.3898882418870926,0.5878265276551247,4.21386456489563,0.5390403717756271,0.14309004694223404,2.0823603868484497,0.5298338830471039,,,,,,,,0.6718085706233978,0.4482577554881573,0.9984291642904282,0.23824676126241684,0.10945865511894226,0.5650036484003067,0.020070980535820127,0.6718085706233978,0.4482577554881573,0.9984291642904282,0.23824676126241684,0.10945865511894226,0.5650036484003067,germination - end of tillering,Altkloster,SwissFutureFarm
5,S2B_MSIL2A_20220327T101629_N0400_R065_T32TMT_20220327T141610.SAFE,2022-03-27,643.9000000000002,2,1.3166624009609222,0.1365482583642006,5.155481696128845,0.4886714331805706,5.054311856156346e-06,2.613934427499771,0.5703252628445625,4.0,0.07576249912381172,0.10927500016987324,0.11777499970048666,0.16892499662935734,0.2818875014781952,0.31575000286102295,0.3430499918758869,0.29448749497532845,0.21256249956786633,1.488539531826973,0.5937954559922218,4.6120535135269165,0.573345459997654,0.14969310350716114,2.2665679454803467,0.5748197436332703,,,,,,,,0.693280540406704,0.40701014548540115,1.0290913581848145,0.26286810263991356,0.10907288361340761,0.5474715903401375,0.02228108188137412,0.693280540406704,0.40701014548540115,1.0290913581848145,0.26286810263991356,0.10907288361340761,0.5474715903401375,germination - end of tillering,Altkloster,SwissFutureFarm
6,S2B_MSIL2A_20220406T101559_N0400_R065_T32TMT_20220406T154623.SAFE,2022-04-06,703.9000000000002,2,1.5628365725278854,0.5969138592481613,3.9645586907863617,0.6207489892840385,0.15571699477732182,1.842611402273178,0.33665652945637703,4.0,0.045037499628961086,0.07608750090003014,0.06816249992698431,0.12463750317692757,0.26897500455379486,0.3118625096976757,0.3261749967932701,0.21661250479519367,0.1276249997317791,1.4584447890520096,0.6547631174325943,3.2571631371974945,0.5668478012084961,0.17482583224773407,1.4868111163377762,0.30677330493927,,,,,,,,1.0822187215089798,0.7521840780973434,1.5556242167949677,0.40371494740247726,0.21764332801103592,0.7237094789743423,0.01636402029544115,1.0822187215089798,0.7521840780973434,1.5556242167949677,0.40371494740247726,0.21764332801103592,0.7237094789743423,germination - end of tillering,Altkloster,SwissFutureFarm
