,lai_q05,lai_q50,lai_q95,ccc_q05,ccc_q50,ccc_q95,sensing_date,agdd,farm,parcel,variety,cab_q50
29,0.9237244963645935,0.9921227097511292,1.8505078315734864,0.3490151822566986,0.38448140025138855,0.8592486023902893,2022-07-13,2520,Arenenberg,Broatefaeld,Wiwa,38.75341189879975
30,1.0084621906280518,1.2818702459335327,3.9823362827301025,0.381790491938591,0.4896686375141144,1.9862415790557861,2022-07-15,2570,Arenenberg,Broatefaeld,Wiwa,38.19954781441308
31,0.39016760140657425,0.4592914283275604,0.583224093914032,0.1033749207854271,0.15002544224262238,0.22904546558856964,2022-03-05,522,SwissFutureFarm,Altkloster,Montalbano,32.664542159847635
32,0.37793615460395813,0.41192129254341125,0.5246152281761163,0.11793951131403446,0.1381896287202835,0.20372752845287323,2022-03-10,525,SwissFutureFarm,Altkloster,Montalbano,33.54758086600248
33,0.4323879525065422,0.4740482270717621,0.6482499718666073,0.12275879569351673,0.16711251437664032,0.24430631101131434,2022-03-20,592,SwissFutureFarm,Altkloster,Montalbano,35.25221798822224
34,0.4498820900917053,0.5118767023086548,0.6904641062021251,0.14538264274597168,0.18613143265247345,0.27071915268898006,2022-03-22,603,SwissFutureFarm,Altkloster,Montalbano,36.3625521171383
35,0.522942864894867,0.607865035533905,0.7430693268775939,0.17846375703811646,0.25302839279174805,0.3110680475831029,2022-03-25,626,SwissFutureFarm,Altkloster,Montalbano,41.62575209964265
36,0.5622511118650436,0.6549851894378662,0.7491163015365601,0.20106817781925201,0.2517395615577698,0.3036360442638397,2022-03-27,644,SwissFutureFarm,Altkloster,Montalbano,38.43438990946077
37,0.8619888424873352,0.9242560267448425,1.1671200275421136,0.20514148101210594,0.24033378064632416,0.29939042329788207,2022-04-04,686,SwissFutureFarm,Altkloster,Montalbano,26.00294438898721
38,0.7970852851867676,0.9257906079292297,1.0568945407867432,0.28863710165023804,0.36490198969841003,0.4286275804042816,2022-04-06,704,SwissFutureFarm,Altkloster,Montalbano,39.41517515657323
39,1.0511826276779175,1.2655888795852661,1.362595796585083,0.42132875323295593,0.5763636231422424,0.6678335279226303,2022-04-14,781,SwissFutureFarm,Altkloster,Montalbano,45.541141553892054
40,1.8072592556476592,2.360054850578308,2.8444549679756164,0.7415759176015854,1.063247561454773,1.3264991104602812,2022-04-19,827,SwissFutureFarm,Altkloster,Montalbano,45.05181568954784
