phenology [BBCH],greenLAI,Crop,ccc
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
79,4.85,Summer Barley,2.10005
59,2.57,Winter Barley,1.44948
59,3.14,Corn,2.14776
15,2.39,Winter Wheat,1.5057
31,2.37,Winter Wheat,1.32957
32,3.35,Summer Wheat,2.1239
30,1.71,Winter Wheat,0.88407
15,1.75,Winter Wheat,1.043
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
79,4.98,Summer Barley,1.83762
79,3.42,Summer Barley,1.38168
30,1.73,Winter Wheat,0.87884
39,,Winter Wheat,
66,7.34,Summer Barley,4.68292
76,3.63,Corn,1.38303
55,0.68,Winter Barley,0.374
36,1.43,Corn,
30,1.85,Winter Wheat,0.85655
31,2.32,Winter Wheat,1.23888
31,2.13,Winter Wheat,1.09056
38,1.87,Corn,
31,2.01,Winter Wheat,0.97686
17,,Corn,
31,2.02,Winter Wheat,1.02414
35,1.77,Corn,
79,3.98,Summer Barley,1.67956
45,2.94,Summer Barley,
66,7.44,Summer Barley,4.9104
68,6.17,Summer Barley,3.81306
66,7.9,Summer Barley,5.1508
66,6.89,Summer Barley,4.38204
54,1.77,Winter Barley,0.93456
30,2.05,Winter Wheat,1.3325
30,1.76,Winter Wheat,0.9152
30,1.84,Winter Wheat,0.94024
30,1.32,Winter Wheat,0.69168
30,2.03,Winter Wheat,0.97237
30,1.47,Winter Wheat,0.71001
36,1.87,Corn,
30,1.51,Winter Wheat,0.86372
51,0.79,Summer Barley,
66,7.94,Summer Barley,5.3595
68,6.29,Summer Barley,3.9627
66,7.6,Summer Barley,5.0236
45,2.86,Summer Barley,
37,1.3,Corn,
52,2.31,Summer Barley,
15,0.84,Winter Wheat,0.34104
17,1.98,Corn,1.28106
30,2.09,Winter Wheat,1.11606
30,1.47,Winter Wheat,0.73794
18,0.86,Corn,
48,2.09,Summer Barley,
30,1.52,Winter Wheat,0.66272
30,1.54,Winter Wheat,0.91938
66,8.63,Summer Barley,5.60087
68,6.66,Summer Barley,4.14252
68,6.81,Summer Barley,4.1541
48,3.42,Summer Barley,
45,3.53,Summer Barley,
37,1.42,Corn,
30,1.94,Winter Wheat,0.88658
30,1.4,Winter Wheat,0.7266
37,1.64,Corn,
15,1.56,Winter Wheat,0.99996
66,7.26,Summer Barley,4.63914
45,2.43,Summer Barley,
45,2.12,Summer Barley,
50,2.11,Summer Barley,
30,1.22,Winter Wheat,0.58194
17,0.99,Corn,
17,,Corn,
30,1.98,Winter Wheat,0.97218
30,1.22,Winter Wheat,0.61
18,1.17,Corn,
16,1.71,Corn,0.96786
31,1.61,Winter Wheat,0.81144
18,2.07,Corn,
50,2.59,Summer Barley,
29,1.24,Winter Wheat,0.5828
18,1.88,Corn,
45,3.28,Summer Barley,
48,2.25,Summer Barley,
29,1.61,Winter Wheat,0.85652
17,1.44,Corn,
51,1,Summer Barley,
17,1.43,Corn,
17,1.28,Corn,
17,1.45,Corn,
16,1.65,Corn,1.04445
18,,Corn,
17,1.88,Corn,
17,,Corn,
18,2.07,Corn,
18,1.3,Corn,
17,,Corn,
37,1.88,Corn,
51,1.19,Summer Barley,
18,2.09,Corn,
16,2.13,Corn,
51,1.08,Summer Barley,
16,1.72,Corn,
