,Unnamed: 0,scene_id,date,gdd_cumsum,point_id,lai_all,lai_q05_all,lai_q95_all,ccc_all,ccc_q05_all,ccc_q95_all,error_all,SCL,B02,B03,B04,B05,B06,B07,B8A,B11,B12,lai_stemelongation-endofheading,lai_q05_stemelongation-endofheading,lai_q95_stemelongation-endofheading,ccc_stemelongation-endofheading,ccc_q05_stemelongation-endofheading,ccc_q95_stemelongation-endofheading,error_stemelongation-endofheading,lai_flowering-fruitdevelopment-plantdead,lai_q05_flowering-fruitdevelopment-plantdead,lai_q95_flowering-fruitdevelopment-plantdead,ccc_flowering-fruitdevelopment-plantdead,ccc_q05_flowering-fruitdevelopment-plantdead,ccc_q95_flowering-fruitdevelopment-plantdead,error_flowering-fruitdevelopment-plantdead,lai_germination-endoftillering,lai_q05_germination-endoftillering,lai_q95_germination-endoftillering,ccc_germination-endoftillering,ccc_q05_germination-endoftillering,ccc_q95_germination-endoftillering,error_germination-endoftillering,lai (Phenology),lai_q05 (Phenology),lai_q95 (Phenology),ccc (Phenology),ccc_q05 (Phenology),ccc_q95 (Phenology),Macro-Stage,parcel,location
228,18.0,S2B_MSIL2A_20220618T102559_N0400_R108_T32TMT_20220618T135630.SAFE,2022-06-18,1686.8000000000004,3,3.772100395626492,1.8067569070392184,7.3434116045633955,1.776100238164266,0.703444242477417,4.027064561843872,0.2055226316054662,4.0,0.0357333334783713,0.0579444439046912,0.0420777781142128,0.0900000010927518,0.293477776977751,0.4219222168127696,0.4429444471995036,0.1436777777141994,0.0786555566721492,3.40179975827535,1.7614218791325886,5.98194079928928,1.5701572365230985,0.693773991531796,3.1383476787143283,0.1973366207546658,3.7648105886247434,1.825579060448541,7.351147492726644,1.762096193101671,0.7193918824195862,3.971280680762397,0.2038752420081032,,,,,,,,3.7648105886247434,1.825579060448541,7.351147492726644,1.762096193101671,0.7193918824195862,3.971280680762397,flowering - fruit development - plant dead,Bramenwies,Strickhof
229,19.0,S2A_MSIL2A_20220620T102041_N0400_R065_T32TMT_20220620T162319.SAFE,2022-06-20,1739.6000000000006,3,5.186417049831814,1.2426362037658691,7.713212490081787,2.526498211754693,0.4497534566455417,4.938506338331434,0.7511438926060995,4.0,0.1380777772929933,0.1636222220129436,0.1434222211440404,0.1997666673527823,0.4374888870451185,0.552822212378184,0.5869111153814528,0.2592888904942406,0.1786666711171468,4.455416255527073,1.0348230467902289,6.30317227045695,2.082486073176066,0.3713358872466617,4.009118715922038,0.7480845186445448,5.148472838931614,1.2385236024856567,7.71320915222168,2.47011137008667,0.4335306021902296,4.851272741953532,0.7452246612972684,,,,,,,,5.148472838931614,1.2385236024856567,7.71320915222168,2.47011137008667,0.4335306021902296,4.851272741953532,flowering - fruit development - plant dead,Bramenwies,Strickhof
230,20.0,S2A_MSIL2A_20220623T103031_N9999_R108_T32TMT_20230101T163539.SAFE,2022-06-23,1803.000000000001,3,4.482353422376844,1.0431964662339952,7.566340022616917,2.087001932991876,0.3510934114456177,4.462010065714519,0.6378408802880181,4.0,0.1241000013218985,0.1455888880623711,0.1295000000132454,0.1822222239441341,0.3815222250090705,0.488800005780326,0.5243333180745443,0.2252111120356453,0.1573222213321262,3.886273596021864,0.934173153506385,6.189064290788439,1.7402025991015964,0.3168812394142151,3.6456146240234375,0.6303717825147841,4.464767191145155,1.0597145689858332,7.570181846618652,2.073618862364027,0.3633846971723768,4.472477224138048,0.6349701616499159,,,,,,,,4.464767191145155,1.0597145689858332,7.570181846618652,2.073618862364027,0.3633846971723768,4.472477224138048,flowering - fruit development - plant dead,Bramenwies,Strickhof
231,21.0,S2B_MSIL2A_20220625T101559_N0400_R065_T32TMT_20220625T131754.SAFE,2022-06-25,1838.8000000000009,3,3.779306862089369,1.8883943690194025,7.350505563947889,1.7630960411495633,0.7185549338658651,3.880275699827406,0.1772299591037962,4.0,0.0329666671653588,0.0589222225050131,0.0362333332498868,0.0948777770002683,0.3137444489532047,0.4179444511731465,0.4499333335293664,0.1416000028451284,0.0645777781804402,3.386773109436035,1.832535637749566,5.94930526945326,1.537856446372138,0.7044290237956576,3.005229367150201,0.1674661950932608,3.77577723397149,1.902805036968655,7.325320190853542,1.7473670641581218,0.7298409673902724,3.8207458919949,0.174792394042015,,,,,,,,3.77577723397149,1.902805036968655,7.325320190853542,1.7473670641581218,0.7298409673902724,3.8207458919949,flowering - fruit development - plant dead,Bramenwies,Strickhof
232,22.0,S2A_MSIL2A_20220703T102611_N0400_R108_T32TMT_20220703T182512.SAFE,2022-07-03,1993.3000000000009,3,2.1344197856055365,1.0575480858484905,4.690669059753418,0.921991487344106,0.3293403055932786,2.237545781665378,0.2042322092586093,4.0,0.0286333333286974,0.0585111110574669,0.0444222220944033,0.1067777781022919,0.2427333345015843,0.2963888843854268,0.330155548122194,0.1275555574231677,0.064333332909478,2.0030689901775784,1.0437091059154937,4.014085266325209,0.847397420141432,0.3093622426191966,1.8682856559753416,0.1854703591929541,2.097233295440674,1.045288132296668,4.570982827080621,0.9118403130107456,0.3193701406319936,2.18534787495931,0.2001738432380888,1.4928847418891058,1.0850213766098022,1.9352822966045804,0.4934793644481235,0.3183053235212962,0.9167862865659926,0.0119178355154063,2.097233295440674,1.045288132296668,4.570982827080621,0.9118403130107456,0.3193701406319936,2.18534787495931,flowering - fruit development - plant dead,Bramenwies,Strickhof
233,23.0,S2B_MSIL2A_20220705T101559_N0400_R065_T32TMT_20220705T131726.SAFE,2022-07-05,2033.700000000001,3,1.8514274093839855,0.7148778372340732,4.420772393544515,0.7587868571281433,0.2013001408841875,2.045330537690057,0.3615264329645369,4.0,0.0605555553403165,0.0934777789645724,0.0875222219361199,0.1542333314816157,0.2820888823933071,0.3423111074500614,0.3764333327611287,0.1856888880332311,0.1142444428470399,1.7190049356884427,0.7400520841280619,3.660440233018664,0.678062187300788,0.2059128565920723,1.6353307565053303,0.3332217170132531,1.8353570302327475,0.7164755463600159,4.2910781966315374,0.7386750645107694,0.2034417225254906,1.940276092953152,0.358366847038269,1.2124220000372992,0.8114330768585205,1.804530342419942,0.3707446952660878,0.2008808486991458,0.6649687223964267,0.0178392935130331,1.8353570302327475,0.7164755463600159,4.2910781966315374,0.7386750645107694,0.2034417225254906,1.940276092953152,flowering - fruit development - plant dead,Bramenwies,Strickhof
234,24.0,S2B_MSIL2A_20220708T102559_N0400_R108_T32TMT_20220708T131740.SAFE,2022-07-08,2090.400000000001,3,1.4608927700254652,0.6069089505407546,3.212868637508816,0.5982407397694058,0.1526459968752331,1.5869543022579615,0.2654708921909332,4.0,0.0387222224639521,0.067277778353956,0.0699333341585265,0.1282555576827791,0.2122222218248579,0.2540444400575425,0.2928999993536207,0.1451333347294065,0.0885555545488993,1.3832540776994493,0.6679421597056918,2.856330818600125,0.5524894926283095,0.173232345117463,1.3947431511349149,0.2409720238712099,1.437907165951199,0.6208781202634176,3.112168894873725,0.5785452789730496,0.1600229110982683,1.5480524831347997,0.2601377897792392,1.1242775519688923,0.8056968980365329,1.7440794971254137,0.3068391184012095,0.1725624584489398,0.585013575024075,0.0132448979549937,1.437907165951199,0.6208781202634176,3.112168894873725,0.5785452789730496,0.1600229110982683,1.5480524831347997,flowering - fruit development - plant dead,Bramenwies,Strickhof
235,25.0,S2A_MSIL2A_20220713T103041_N0400_R108_T32TMT_20220713T164557.SAFE,2022-07-13,2190.1000000000017,3,1.0920300086339314,0.3139458811945385,2.582720571094089,0.4139694803290897,0.0454799301094479,1.315846668349372,0.3179677691724565,4.0,0.0411333329975605,0.0691000016199217,0.0974333327677514,0.1441444440020455,0.1877444452709621,0.2210333314206865,0.26551111208068,0.1748444454537497,0.1054666646652751,1.167260011037191,0.5850378076235453,2.484192556805081,0.4612746569845412,0.1352557506826188,1.2833447986178927,0.300604028834237,1.14096819029914,0.4236235353681776,2.607188092337714,0.4351902504762013,0.0926922087868054,1.3466249704360962,0.3141564793056912,0.8376847704251608,0.4825639691617753,1.4295817878511217,0.2386951645215352,0.0783028718498018,0.5555488798353407,0.0191086721089151,1.14096819029914,0.4236235353681776,2.607188092337714,0.4351902504762013,0.0926922087868054,1.3466249704360962,flowering - fruit development - plant dead,Bramenwies,Strickhof
236,26.0,S2B_MSIL2A_20220715T101559_N0400_R065_T32TMT_20220715T133111.SAFE,2022-07-15,2239.500000000002,3,1.0159321890936956,0.1336731811364492,2.55607361263699,0.3688947558403015,1.4669740835415723e-06,1.2907174560758805,0.4516971972253587,5.0,0.0721888889869054,0.1011444446113374,0.1433777776029375,0.1890111101998223,0.2239555567502975,0.2569555640220642,0.3026777770784166,0.2303666704230838,0.1479000002145767,1.183492488331265,0.5760841634538438,2.576748900943332,0.4631675018204583,0.1338972647984822,1.3140447272194755,0.4575879176457723,1.1620986859003704,0.4001015689637925,2.720825433731079,0.4327884713808695,0.0875318894783655,1.3575648466746013,0.4696948991881476,0.6272292335828146,0.3718409703837501,1.072786397404141,0.1591192798482047,0.0586016774177551,0.4438894755310482,0.024234651070502,1.1620986859003704,0.4001015689637925,2.720825433731079,0.4327884713808695,0.0875318894783655,1.3575648466746013,flowering - fruit development - plant dead,Bramenwies,Strickhof
237,27.0,S2B_MSIL2A_20220718T102559_N0400_R108_T32TMT_20220718T133811.SAFE,2022-07-18,2307.300000000001,3,0.9860693216323853,0.1245499609245194,2.5206919776068792,0.3561697072452969,3.960604004760171e-07,1.2797104914983113,0.4619595044189029,5.0,0.0703444447782304,0.100477779077159,0.1537111120091544,0.18900000055631,0.2141999950011571,0.2478333397044075,0.2903444468975067,0.2288666665554046,0.1423666659328672,1.1729527446958754,0.5744688908259074,2.57535982131958,0.459300782945421,0.1331843253639009,1.3030924664603338,0.4748466081089443,1.1458219687143962,0.3966323534647624,2.721025069554647,0.4268566370010376,0.0865805314646826,1.3771476480695937,0.4855523109436035,0.5635780824555291,0.3555082778135935,0.9398233294487,0.1196334833900133,0.0363897532224655,0.3694901996188693,0.0262542551176415,1.1458219687143962,0.3966323534647624,2.721025069554647,0.4268566370010376,0.0865805314646826,1.3771476480695937,flowering - fruit development - plant dead,Bramenwies,Strickhof
